sample,fastq_1,fastq_2,replicate,antibody,control,control_replicate
CONTROL_WT,data/CONTROL_WT_rep1_R1.fastq.gz,data/CONTROL_WT_rep1_R2.fastq.gz,1,ATAC,,
CONTROL_WT,data/CONTROL_WT_rep2_R1.fastq.gz,data/CONTROL_WT_rep2_R2.fastq.gz,2,ATAC,,
CONTROL_WT,data/CONTROL_WT_rep3_R1.fastq.gz,data/CONTROL_WT_rep3_R2.fastq.gz,3,ATAC,,
TREATMENT_WT,data/TREATMENT_WT_rep1_R1.fastq.gz,data/TREATMENT_WT_rep1_R2.fastq.gz,1,ATAC,CONTROL_WT,1
TREATMENT_WT,data/TREATMENT_WT_rep2_R1.fastq.gz,data/TREATMENT_WT_rep2_R2.fastq.gz,2,ATAC,CONTROL_WT,2
TREATMENT_WT,data/TREATMENT_WT_rep3_R1.fastq.gz,data/TREATMENT_WT_rep3_R2.fastq.gz,3,ATAC,CONTROL_WT,3
CONTROL_KO,data/CONTROL_KO_rep1_R1.fastq.gz,data/CONTROL_KO_rep1_R2.fastq.gz,1,ATAC,,
CONTROL_KO,data/CONTROL_KO_rep2_R1.fastq.gz,data/CONTROL_KO_rep2_R2.fastq.gz,2,ATAC,,
CONTROL_KO,data/CONTROL_KO_rep3_R1.fastq.gz,data/CONTROL_KO_rep3_R2.fastq.gz,3,ATAC,,
TREATMENT_KO,data/TREATMENT_KO_rep1_R1.fastq.gz,data/TREATMENT_KO_rep1_R2.fastq.gz,1,ATAC,CONTROL_KO,1
TREATMENT_KO,data/TREATMENT_KO_rep2_R1.fastq.gz,data/TREATMENT_KO_rep2_R2.fastq.gz,2,ATAC,CONTROL_KO,2
TREATMENT_KO,data/TREATMENT_KO_rep3_R1.fastq.gz,data/TREATMENT_KO_rep3_R2.fastq.gz,3,ATAC,CONTROL_KO,3
